time,open,high,low,close,volume,count
1697052600,25170.0,25231.7,25169.9,25225.6,2.62918939,202
1697053500,25219.9,25241.6,25201.9,25216.1,10.10623436,189
1697054400,25214.6,25234.5,25170.2,25175.0,4.10478629,182
1697055300,25175.0,25175.0,25150.7,25150.9,19.92403287,134
1697056200,25150.8,25156.3,25136.1,25144.0,5.74371219,190
1697057100,25143.7,25172.0,25142.0,25162.5,10.94844464,120
1697058000,25163.7,25175.0,25150.0,25173.1,2.95914625,119
1697058900,25173.1,25205.6,25165.0,25165.1,5.21271253,161
1697059800,25165.0,25165.0,25125.1,25144.2,1.99827993,142
1697060700,25144.3,25167.4,25130.0,25167.4,4.05527839,114
1697061600,25167.4,25179.8,25162.6,25175.0,1.30075417,135
1697062500,25178.1,25212.6,25175.0,25197.1,2.10187765,120
1697063400,25197.1,25224.0,25196.7,25224.0,14.59883317,94
1697064300,25233.9,25233.9,25203.1,25220.6,3.49107461,97
1697065200,25225.4,25229.7,25191.8,25211.9,2.05446032,85
1697066100,25210.0,25261.7,25198.7,25251.7,0.90743877,101
1697067000,25253.1,25275.7,25234.3,25275.7,10.92581357,102
1697067900,25276.7,25305.6,25262.6,25301.9,1.10563258,57
1697068800,25300.1,25304.7,25262.8,25270.5,0.49527208,102
1697069700,25270.5,25281.4,25250.5,25254.6,0.50154771,81
1697070600,25258.8,25270.5,25233.4,25236.4,2.02812134,76
1697071500,25240.7,25253.0,25224.9,25240.3,0.49395069,39
1697072400,25237.9,25238.7,25202.6,25202.6,0.97492492,65
1697073300,25202.6,25205.9,25178.0,25202.5,0.35241386,60
1697074200,25205.4,25205.4,25173.6,25177.0,0.24662017,64
1697075100,25179.7,25216.5,25173.5,25213.1,0.41654959,48
1697076000,25210.1,25231.9,25187.9,25226.3,0.51288785,64
1697076900,25226.1,25249.5,25225.7,25247.8,0.54884271,60
1697077800,25243.8,25299.7,25243.8,25298.9,0.24234264,57
1697078700,25299.0,25359.0,25299.0,25328.1,36.50807215,90
1697079600,25328.2,25342.9,25277.8,25277.8,2.45953371,62
1697080500,25276.9,25288.3,25272.9,25273.3,0.39357199,81
1697081400,25273.4,25281.6,25264.0,25264.0,0.40120629,70
1697082300,25264.1,25270.0,25255.5,25266.9,0.27786497,50
1697083200,25266.9,25268.5,25244.0,25257.0,0.51411235,89
1697084100,25253.1,25265.7,25245.5,25264.4,2.40869888,50
1697085000,25264.4,25264.4,25255.0,25255.3,1.41597291,77
1697085900,25255.3,25257.6,25235.6,25235.6,1.56053983,78
1697086800,25235.7,25235.7,25207.3,25207.6,2.14903055,226
1697087700,25207.5,25243.4,25201.5,25242.1,4.39905912,355
1697088600,25241.5,25264.7,25232.0,25260.0,0.82792882,97
1697089500,25260.1,25286.9,25260.0,25286.9,1.78426545,111
1697090400,25286.9,25290.6,25250.1,25250.2,4.19763927,206
1697091300,25250.2,25294.5,25250.2,25294.5,6.01782542,205
1697092200,25294.5,25318.1,25289.3,25301.8,7.51356114,232
1697093100,25301.0,25304.1,25270.3,25271.1,9.42157683,206
1697094000,25271.1,25271.1,25271.1,25271.1,0.00824287,9
1697094900,25271.0,25271.0,25240.0,25257.4,8.90256979,357
1697095800,25254.9,25262.8,25244.7,25259.7,11.22741345,252
1697096700,25261.8,25265.8,25244.0,25249.9,17.93553067,275
1697097600,25249.9,25259.9,25209.1,25222.8,9.93368893,278
1697098500,25220.4,25235.7,25212.2,25225.4,7.57646492,251
1697099400,25225.3,25255.7,25222.9,25248.8,29.73614125,230
1697100300,25248.7,25248.8,25225.9,25230.1,8.57724629,201
1697101200,25230.1,25248.3,25223.4,25228.2,23.05924567,213
1697102100,25228.2,25243.8,25166.7,25179.1,13.13192731,325
1697103000,25181.4,25192.1,25127.0,25175.0,10.4695831,293
1697103900,25174.9,25204.9,25101.5,25185.1,14.45383869,269
1697104800,25188.2,25227.9,25178.7,25205.9,7.24626373,235
